"","X.1","sample","Sample_label","Sample_No","Full_Label","species_jetz","species_clean","species_binomial","family","sociality","mass_tidy","elevation_cat","foraging_cat","Powder.lvl","elevation_midpoint","ectoparasites_PA","general_diversity","Lice","Mites","Ticks","total_lice","Female","Male","Nimph","Eggs","total_mites","total_mesostigmatidae","total_no_feathers_mites","species_binomial.x","x","ectoparasite_code","species","species_taxonomy_SACC_2021","elevation_all_years","net_elevation","elevation","elevation_midpoint.1","Species_parameters","Station","X","day","month","year","full_date","date_status","date","year_seasonality","mass_species_day","count"
"1",1,"120622",NA,"P120622","P120622","Formicarius_analis","Formicarius analis","Formicarius_analis","Formicariidae",0,57.04347826,"lowland_manu","ground","med",430,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,1061,"25_6_2012_pantiacolla_Formicarius analis","Formicarius analis","Formicarius_analis",438,NA,438,430,"Formicarius analis","pantiacolla",NA,25,6,2012,"2012-06-25",NA,"2012-06-25",177,51,1
"2",2,"116125",NA,"P116125","P116125","Formicarius_analis","Formicarius analis","Formicarius_analis","Formicariidae",0,57.04347826,"lowland_manu","ground","low",430,1,1,0,1,0,0,"0","0","0","0",18,0,16,"Formicarius_analis",130,"16_8_2011_pantiacolla_Formicarius analis","Formicarius analis","Formicarius_analis",415,NA,415,430,"Formicarius analis","pantiacolla",NA,16,8,2011,"2011-08-16",NA,"2011-08-16",228,62.95,1
"3",3,"120778",NA,"P120778","P120778","Formicarius_analis","Formicarius analis","Formicarius_analis","Formicariidae",0,57.04347826,"lowland_manu","ground","very low",430,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,1131,"12_7_2012_pantiacolla_Formicarius analis","Formicarius analis","Formicarius_analis",NA,NA,NA,430,"Formicarius analis","pantiacolla",NA,12,7,2012,"2012-07-12",NA,"2012-07-12",194,56.1,1
"4",4,"120896",NA,"P120896","P120896","Formicarius_analis","Formicarius analis","Formicarius_analis","Formicariidae",0,57.04347826,"lowland_manu","ground","low",430,1,1,0,1,0,0,"0","0","0","0",3,0,0,"Formicarius_analis",1175,"21_8_2012_pantiacolla_Formicarius analis","Formicarius analis","Formicarius_analis",NA,NA,NA,430,"Formicarius analis","pantiacolla",NA,21,8,2012,"2012-08-21",NA,"2012-08-21",234,62,1
"5",5,"121420",NA,"P121420","P121420","Formicarius_analis","Formicarius analis","Formicarius_analis","Formicariidae",0,57.04347826,"lowland_manu","ground","very low",430,1,1,0,1,0,0,"0","0","0","0",7,0,6,"Formicarius_analis",1393,"26_10_2012_pantiacolla_Formicarius analis","Formicarius analis","Formicarius_analis",385,NA,385,430,"Formicarius analis","pantiacolla",NA,26,10,2012,"2012-10-26",NA,"2012-10-26",300,60.215,2
"6",6,"121421",NA,"P121421","P121421","Formicarius_analis","Formicarius analis","Formicarius_analis","Formicariidae",0,57.04347826,"lowland_manu","ground","low",430,1,1,0,1,0,0,"0","0","0","0",2,0,1,"Formicarius_analis",1394,"26_10_2012_pantiacolla_Formicarius analis","Formicarius analis","Formicarius_analis",385,NA,385,430,"Formicarius analis","pantiacolla",NA,26,10,2012,"2012-10-26",NA,"2012-10-26",300,60.215,2
"7",7,"120069","SP12","69","SP120069","Anabacerthia_striaticollis","Anabacerthia striaticollis","Anabacerthia_striaticollis","Furnariidae",1,24.58886525,"montane_manu","midhigh","low",1397,1,1,0,1,0,0,"0","0","0","0",11,0,0,"Anabacerthia_striaticollis",4586,"29_6_2012_san_pedro_Anabacerthia striaticollis",NA,"Anabacerthia_striaticollis",NA,NA,1387,1397,"Anabacerthia striaticollis","san_pedro",NA,29,6,2012,"2012-06-29",NA,"2012-06-29",181,NA,NA
"8",8,"120733",NA,"W120733","W120733","Chamaeza_mollissima","Chamaeza mollissima","Chamaeza_mollissima","Formicariidae",0,72.6175,"high_montane_manu","ground","med",2585,1,3,1,1,1,6,"1","2","3","0",3,0,0,"Chamaeza_mollissima",2692,"16_10_2012_wayqecha_Chamaeza mollissima","Chamaeza mollissima","Chamaeza_mollissima",2742,NA,2742,2585,"Chamaeza mollissima","wayqecha",NA,16,10,2012,"2012-10-16",NA,"2012-10-16",290,71.33,1
"9",9,"120112",NA,"VC120112","VC120112","Formicarius_analis","Formicarius analis","Formicarius_analis","Formicariidae",0,57.04347826,"lowland_manu","ground","low",430,1,1,1,0,0,4,"1","1","2","0",0,0,0,NA,2298,"16_9_2012_villa_carmen_Formicarius analis","Formicarius analis","Formicarius_analis",604,NA,604,430,"Formicarius analis","villa_carmen",NA,16,9,2012,"2012-09-16",NA,"2012-09-16",260,55.87,1
"10",10,"120284","W12","284","W120284","Anisognathus_igniventris","Anisognathus igniventris","Anisognathus_igniventris","Thraupidae",1,34.8345,"high_montane_manu","midhigh","low",2932,0,0,0,0,0,0,"0","0","0","0",0,0,0,NA,4840,"NA_8_2012_wayqecha_Anisognathus igniventris",NA,"Anisognathus_igniventris",NA,NA,NA,2932,"Anisognathus igniventris","wayqecha",NA,27,8,2012,"2012-08-27","check date","2012-08-27",240,NA,NA
