,species_jetz,sample,Sample_label,Sample_No,Full_Label,species_clean,species_binomial,family,sociality,elevation_cat,foraging_cat,Powder.lvl,ectoparasites_PA,general_diversity,Lice,Mites,Ticks,total_lice,Female,Male,Nimph,Eggs,total_mites,total_mesostigmatidae,total_no_feathers_mites,species_binomial.x,ectoparasite_code,species,species_taxonomy_SACC_2021,elevation_midpoint,elevation_all_years,elevation,Species_parameters,Station,day,month,year,full_date,date_status,date,year_seasonality,mass_ind_tidy,note_mass,mass_tidy_species,mass_ind_comp,degree_species,w_degree_species
1,Myrmeciza_goeldii,115940,P11,5940,P115940,Akletos goeldii,Percnostola_goeldii,Thamnophilidae,1,lowland_manu,ground-understory,low,1,2,1,1,0,18,5,6,3,0,11,0,0,Percnostola_goeldii,10_8_2011_pantiacolla_Myrmeciza goeldii,Myrmeciza goeldii,Akletos_goeldii,438,397,397,Myrmeciza goeldii,pantiacolla,10,8,2011,2011-08-10,NA,2011-08-10,222,37.5,NA,44.03666667,-6.53666667,10,0.83036485
2,Myrmeciza_goeldii,120629,P12,629,P120629,Akletos goeldii,Percnostola_goeldii,Thamnophilidae,1,lowland_manu,ground-understory,low,1,2,1,1,0,1,0,1,0,0,5,0,0,Percnostola_goeldii,25_6_2012_pantiacolla_Myrmeciza goeldii,Myrmeciza goeldii,Akletos_goeldii,438,438,438,Myrmeciza goeldii,pantiacolla,25,6,2012,2012-06-25,NA,2012-06-25,177,41.35,NA,44.03666667,-2.68666667,10,0.83036485
3,Myrmeciza_goeldii,115991,P11,5991,P115991,Akletos goeldii,Percnostola_goeldii,Thamnophilidae,1,lowland_manu,ground-understory,low,1,2,1,1,0,4,1,0,2,0,13,0,0,Percnostola_goeldii,11_8_2011_pantiacolla_Myrmeciza goeldii,Myrmeciza goeldii,Akletos_goeldii,438,397,397,Myrmeciza goeldii,pantiacolla,11,8,2011,2011-08-11,NA,2011-08-11,223,44.95,NA,44.03666667,0.91333333,10,0.83036485
4,Myrmeciza_goeldii,120612,P12,612,P120612,Akletos goeldii,Percnostola_goeldii,Thamnophilidae,1,lowland_manu,ground-understory,low,1,1,1,0,0,1,1,0,0,0,0,0,0,NA,24_6_2012_pantiacolla_Myrmeciza goeldii,Myrmeciza goeldii,Akletos_goeldii,438,438,438,Myrmeciza goeldii,pantiacolla,24,6,2012,2012-06-24,NA,2012-06-24,176,46.3,NA,44.03666667,2.26333333,10,0.83036485
5,Anabacerthia_striaticollis,110188,SP11,188,SP110188,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,montane_manu,midhigh,med,1,1,0,1,0,0,0,0,0,0,1,0,0,Anabacerthia_striaticollis,6_10_2011_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1397,1337,1337,Anabacerthia striaticollis,san_pedro,6,10,2011,2011-10-06,NA,2011-10-06,279,22.68,NA,24.58886525,-1.90886525,78,8.768245732
6,Anabacerthia_striaticollis,120069,SP12,69,SP120069,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,montane_manu,midhigh,low,1,1,0,1,0,0,0,0,0,0,11,0,0,Anabacerthia_striaticollis,29_6_2012_san_pedro_Anabacerthia striaticollis,NA,Anabacerthia_striaticollis,1397,NA,1387,Anabacerthia striaticollis,san_pedro,29,6,2012,2012-06-29,NA,2012-06-29,181,23,NA,24.58886525,-1.58886525,78,8.768245732
7,Anabacerthia_striaticollis,13006,SP13,6,SP13006,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,montane_manu,midhigh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10_9_2013_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1397,1362,1362,Anabacerthia striaticollis,san_pedro,10,9,2013,2013-09-10,NA,2013-09-10,253,24.58886525,raw data have NA so I used the average for the species ,24.58886525,0,78,8.768245732
8,Anabacerthia_striaticollis,120109,TL12,109,TL120109,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,montane_manu,midhigh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2_11_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1397,1735,1735,Anabacerthia striaticollis,san_pedro,2,11,2012,2012-11-02,NA,2012-11-02,307,25.05,NA,24.58886525,0.46113475,78,8.768245732
9,Anabacerthia_striaticollis,120861,SP12,861,SP120861,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,montane_manu,midhigh,low,1,1,1,0,0,5,3,0,2,0,0,0,0,NA,29_8_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1397,1376,1376,Anabacerthia striaticollis,san_pedro,29,8,2012,2012-08-29,NA,2012-08-29,242,25.3,NA,24.58886525,0.71113475,78,8.768245732
10,Anabacerthia_striaticollis,120075,TL12,75,TL120075,Anabacerthia striaticollis,Anabacerthia_striaticollis,Furnariidae,1,montane_manu,midhigh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,31_10_2012_san_pedro_Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia_striaticollis,1397,1735,1735,Anabacerthia striaticollis,san_pedro,31,10,2012,2012-10-31,NA,2012-10-31,305,26.14,NA,24.58886525,1.55113475,78,8.768245732
